# Te [K]  Q(l,s) = PI*sigma^2*Omega*(l,s) [A^2]
# (1,1)  (1,2)  (1,3)  (1,4)  (1,5)
2.21000000e+04 1.42113823e+01 1.10166645e+01 8.68451428e+00 7.13755504e+00 6.12256242e+00 
2.22000000e+04 1.41681209e+01 1.09746139e+01 8.64967791e+00 7.11013847e+00 6.10087358e+00 
2.23000000e+04 1.41250711e+01 1.09328821e+01 8.61516434e+00 7.08299887e+00 6.07940875e+00 
2.24000000e+04 1.40822323e+01 1.08914662e+01 8.58096965e+00 7.05613234e+00 6.05816457e+00 
2.25000000e+04 1.40396040e+01 1.08503634e+01 8.54708997e+00 7.02953505e+00 6.03713772e+00 
2.26000000e+04 1.39971857e+01 1.08095711e+01 8.51352150e+00 7.00320323e+00 6.01632494e+00 
2.27000000e+04 1.39549769e+01 1.07690864e+01 8.48026048e+00 6.97713321e+00 5.99572305e+00 
2.28000000e+04 1.39129770e+01 1.07289067e+01 8.44730321e+00 6.95132132e+00 5.97532892e+00 
2.29000000e+04 1.38711854e+01 1.06890293e+01 8.41464603e+00 6.92576400e+00 5.95513946e+00 
2.30000000e+04 1.38296015e+01 1.06494514e+01 8.38228534e+00 6.90045774e+00 5.93515166e+00 
2.31000000e+04 1.37882247e+01 1.06101704e+01 8.35021757e+00 6.87539906e+00 5.91536256e+00 
2.32000000e+04 1.37470544e+01 1.05711838e+01 8.31843922e+00 6.85058459e+00 5.89576925e+00 
2.33000000e+04 1.37060899e+01 1.05324887e+01 8.28694683e+00 6.82601096e+00 5.87636887e+00 
2.34000000e+04 1.36653305e+01 1.04940827e+01 8.25573698e+00 6.80167489e+00 5.85715862e+00 
2.35000000e+04 1.36247756e+01 1.04559632e+01 8.22480631e+00 6.77757316e+00 5.83813574e+00 
2.36000000e+04 1.35844245e+01 1.04181276e+01 8.19415149e+00 6.75370257e+00 5.81929754e+00 
2.37000000e+04 1.35442763e+01 1.03805734e+01 8.16376925e+00 6.73006000e+00 5.80064136e+00 
2.38000000e+04 1.35043305e+01 1.03432980e+01 8.13365636e+00 6.70664238e+00 5.78216459e+00 
2.39000000e+04 1.34645862e+01 1.03062989e+01 8.10380962e+00 6.68344668e+00 5.76386467e+00 
2.40000000e+04 1.34250427e+01 1.02695736e+01 8.07422591e+00 6.66046992e+00 5.74573908e+00 
2.41000000e+04 1.33856992e+01 1.02331198e+01 8.04490210e+00 6.63770917e+00 5.72778537e+00 
2.42000000e+04 1.33465549e+01 1.01969349e+01 8.01583514e+00 6.61516155e+00 5.71000109e+00 
2.43000000e+04 1.33076092e+01 1.01610165e+01 7.98702203e+00 6.59282424e+00 5.69238387e+00 
2.44000000e+04 1.32688610e+01 1.01253623e+01 7.95845976e+00 6.57069444e+00 5.67493137e+00 
2.45000000e+04 1.32303097e+01 1.00899697e+01 7.93014542e+00 6.54876941e+00 5.65764128e+00 
2.46000000e+04 1.31919545e+01 1.00548366e+01 7.90207611e+00 6.52704646e+00 5.64051134e+00 
