# Te [K]  Q(l,s) = PI*sigma^2*Omega*(l,s) [A^2]
# (1,1)  (1,2)  (1,3)  (1,4)  (1,5)
2.37000000e+04 1.38135792e+01 1.54060115e+01 1.54374076e+01 1.45472912e+01 1.32468610e+01 
2.38000000e+04 1.38335703e+01 1.54063781e+01 1.54185200e+01 1.45143356e+01 1.32058052e+01 
2.39000000e+04 1.38532308e+01 1.54064211e+01 1.53994183e+01 1.44813162e+01 1.31648259e+01 
2.40000000e+04 1.38725635e+01 1.54061452e+01 1.53801074e+01 1.44482370e+01 1.31239256e+01 
2.41000000e+04 1.38915713e+01 1.54055547e+01 1.53605920e+01 1.44151019e+01 1.30831067e+01 
2.42000000e+04 1.39102570e+01 1.54046541e+01 1.53408770e+01 1.43819149e+01 1.30423714e+01 
2.43000000e+04 1.39286234e+01 1.54034478e+01 1.53209670e+01 1.43486795e+01 1.30017219e+01 
2.44000000e+04 1.39466733e+01 1.54019401e+01 1.53008667e+01 1.43153996e+01 1.29611604e+01 
2.45000000e+04 1.39644096e+01 1.54001354e+01 1.52805805e+01 1.42820788e+01 1.29206889e+01 
2.46000000e+04 1.39818349e+01 1.53980377e+01 1.52601130e+01 1.42487205e+01 1.28803094e+01 
