t [s],Y_O2(1),Y_O2(2),Y_O2(3),Y_O,T [K],p [Pa],n [m^-3],E [J/kg]
0.057646485507632586,0.6686114206034472,0.0017308997601296718,1.575447999863778e-06,0.3296561041867914,2724.8320554669776,1766.2561680226518,4.694946730054262e+22,7230534.23975438
0.05774648550763259,0.668598253106886,0.0017297004728794659,1.5732977325165875e-06,0.3296704731208701,2724.580471932032,1766.1121750180941,4.694997466015128e+22,7230748.098881729
0.05784648550763259,0.6685851106373609,0.0017285041160245635,1.571154156307507e-06,0.32968481409082645,2724.329375835343,1765.9684573173672,4.695048103236127e+22,7230961.544916913
0.057946485507632595,0.6685719931040385,0.001727310677332506,1.569017238910554e-06,0.32969912719975825,2724.0787653843727,1765.8250139159022,4.695098642081296e+22,7231174.579375447
0.0580464855076326,0.6685589004165754,0.0017261201446366644,1.5668869481051798e-06,0.32971341255020803,2723.8286387964304,1765.6818438146372,4.695149082912704e+22,7231387.203764684
0.0581464855076326,0.668545832485119,0.001724932505837683,1.5647632518090707e-06,0.32972767024415994,2723.5789942984024,1765.538946019837,4.695199426090453e+22,7231599.419583773
0.0582464855076326,0.6685327892202931,0.0017237477489131974,1.5626461182489458e-06,0.3297419003830439,2723.3298301265468,1765.3963195429674,4.695249671972688e+22,7231811.228323776
0.058346485507632606,0.6685197705331875,0.001722565861917463,1.5605355159602566e-06,0.3297561030677472,2723.08114452661,1765.2539634007885,4.695299820915632e+22,7232022.631467843
0.05844648550763261,0.668506776335366,0.0017213868329697673,1.5584314135992787e-06,0.32977027839861867,2722.8329357539533,1765.1118766154432,4.695349873273616e+22,7232233.630491214
0.05854648550763261,0.6684938065388702,0.001720210650251215,1.5563337798981938e-06,0.32978442647546663,2722.5852020733228,1764.970058214305,4.6953998293990556e+22,7232444.22686117
0.058646485507632615,0.6684808610562103,0.0017190373020155505,1.5542425838542042e-06,0.32979854739755815,2722.337941758548,1764.8285072297836,4.695449689642459e+22,7232654.422037082
0.05874648550763262,0.6684679398003477,0.001717866776594104,1.5521577948186232e-06,0.3298126412636312,2722.0911530925846,1764.68722269937,4.695499454352466e+22,7232864.21747062
0.05884648550763262,0.6684550426846989,0.0017166990623842678,1.55007938230895e-06,0.329826708171902,2721.844834367748,1764.5462036657977,4.695549123875872e+22,7233073.614605807
0.05894648550763262,0.6684421696231471,0.0017155341478405548,1.5480073158671972e-06,0.32984074822006393,2721.598983885581,1764.4054491769596,4.695598698557624e+22,7233282.614878954
0.059046485507632626,0.668429320530035,0.0017143720214840693,1.5459415652274326e-06,0.3298547615052829,2721.353599956465,1764.2649582856463,4.695648178740815e+22,7233491.219718638
0.05914648550763263,0.6684164953201461,0.0017132126719134168,1.5438821005041502e-06,0.3298687481242072,2721.1086808995506,1764.1247300495197,4.695697564766702e+22,7233699.430545913
0.05924648550763263,0.6684036939087,0.0017120560877960415,1.5418288920522058e-06,0.3298827081729792,2720.864225043043,1763.9847635313115,4.695746856974762e+22,7233907.248774443
